Date,Country,product_variation_count,total_items_sold,total_orders,daily_sales_volume,promotional_banner_count
2010-12-10,France,16,418,1,1071.9,4
2010-12-10,Germany,47,1096,2,2360.41,4
2010-12-10,Portugal,14,131,1,311.95,4
2010-12-10,United Kingdom,1237,19073,72,54282.61,5
2010-12-12,Japan,48,2409,1,3590.59,3
2010-12-12,United Kingdom,766,8194,43,13738.48,1
2010-12-13,Germany,2,2,1,12.45,4
2010-12-13,Spain,20,300,1,881.01,2
2010-12-13,United Kingdom,1163,17425,68,37113.25,4
2010-12-14,Cyprus,82,917,1,1590.82,2
2010-12-14,Sweden,1,240,1,1188.0,2
2010-12-14,United Kingdom,973,19127,88,42475.91,4
2010-12-15,France,67,134,1,195.89,5
2010-12-15,United Kingdom,716,18359,73,30248.73,2
2010-12-16,EIRE,18,358,1,707.0600000000001,2
2010-12-16,Finland,13,1254,1,892.8,4
2010-12-16,France,1,3,1,4.949999999999999,2
2010-12-16,United Kingdom,911,28328,118,47748.090000000004,2
2010-12-17,Australia,9,146,1,415.7,4
2010-12-17,Austria,8,51,1,277.2,4
2010-12-17,Belgium,28,285,2,625.16,1
2010-12-17,EIRE,60,701,2,1424.12,5
2010-12-17,France,10,398,2,350.28000000000003,5
2010-12-17,Germany,93,1658,8,4690.82,2
2010-12-17,Portugal,22,193,1,463.5,5
2010-12-17,Spain,10,100,1,168.0,2
2010-12-17,Sweden,25,3714,1,2646.2999999999997,1
2010-12-17,United Kingdom,1304,9701,47,34357.25,4
2010-12-19,EIRE,18,155,1,411.1,4
2010-12-19,Germany,24,337,1,469.87,4
2010-12-19,United Kingdom,359,3307,21,6653.94,5
2010-12-20,Bahrain,1,54,1,205.74,1
2010-12-20,France,60,733,2,1371.19,5
2010-12-20,Germany,12,234,1,631.96,5
2010-12-20,Netherlands,16,46,1,70.96000000000001,1
2010-12-20,Switzerland,43,604,1,1001.52,1
2010-12-20,United Kingdom,883,13269,55,23507.76,1
2010-12-21,Belgium,16,188,1,237.93,1
2010-12-21,EIRE,28,344,1,762.3000000000001,4
2010-12-21,France,5,26,2,221.28,3
2010-12-21,Italy,16,131,1,383.7,3
2010-12-21,Netherlands,54,6668,1,8520.92,1
2010-12-21,United Kingdom,768,8256,49,37177.96,3
2010-12-22,Belgium,37,754,1,600.72,3
2010-12-22,France,4,88,1,110.39999999999999,1
2010-12-22,United Kingdom,156,2238,15,5488.85,3
2010-12-23,EIRE,15,108,1,289.85,5
2010-12-23,Germany,73,935,2,1391.55,2
2010-12-23,United Kingdom,724,4711,24,10394.71,2
2011-01-04,Sweden,13,293,1,547.56,1
2011-01-04,United Kingdom,814,8346,35,15478.52,4
2011-01-05,France,65,735,2,1391.18,1
2011-01-05,United Kingdom,962,19036,53,31243.29,4
2011-01-06,Australia,48,4802,2,7154.38,2
2011-01-06,France,44,443,2,799.02,1
2011-01-06,United Kingdom,963,17883,46,32429.45,5
2011-01-07,France,34,596,2,1065.09,3
2011-01-07,Germany,194,2658,4,3976.13,4
2011-01-07,Spain,98,630,1,1138.67,3
2011-01-07,United Kingdom,896,13276,46,22656.7,3
2011-01-09,EIRE,13,85,1,258.0,1
2011-01-09,France,9,78,1,114.0,3
2011-01-09,Portugal,51,641,2,1100.16,5
2011-01-09,United Kingdom,602,7398,44,14306.04,3
2011-01-10,Australia,1,96,1,81.6,1
2011-01-10,France,50,635,1,1238.06,5
2011-01-10,Germany,20,635,2,682.33,2
2011-01-10,Israel,14,100,1,379.84000000000003,3
2011-01-10,Spain,93,643,1,1715.85,1
2011-01-10,United Kingdom,1024,10759,33,20471.39,2
2011-01-11,Australia,19,238,1,462.5,2
2011-01-11,France,27,988,4,1512.6399999999999,4
2011-01-11,Germany,9,87,1,144.26,5
2011-01-11,Spain,35,1483,2,4564.3,3
2011-01-11,United Kingdom,913,25652,50,61971.89,1
2011-01-12,Belgium,31,590,1,651.16,4
2011-01-12,Cyprus,16,144,1,547.5,5
2011-01-12,France,59,682,3,1415.6299999999999,4
2011-01-12,Germany,11,97,1,250.65,5
2011-01-12,United Kingdom,1034,9109,39,21828.84,5
2011-01-13,Germany,7,100,1,753.4499999999999,3
2011-01-13,Italy,70,748,1,1608.66,5
2011-01-13,United Kingdom,913,9326,42,18262.53,4
2011-01-14,Australia,3,60,1,177.00000000000003,5
2011-01-14,EIRE,41,6198,1,16774.72,3
2011-01-14,France,82,1072,3,1790.43,3
2011-01-14,Germany,28,248,3,534.02,4
2011-01-14,Netherlands,79,8210,1,10389.06,2
2011-01-14,United Kingdom,818,7361,38,17911.67,2
2011-01-16,United Kingdom,422,4204,25,7242.06,5
2011-01-17,Australia,19,204,1,431.3,1
2011-01-17,France,21,268,1,732.14,5
2011-01-17,Germany,75,583,2,1316.9,4
2011-01-17,Poland,25,288,1,613.22,4
2011-01-17,United Kingdom,1154,12054,46,26239.46,4
2011-01-18,EIRE,10,287,1,465.58,4
2011-01-18,Germany,10,113,1,132.52,4
2011-01-18,Portugal,36,1216,1,2271.62,3
2011-01-18,Spain,29,294,1,681.05,2
2011-01-18,United Kingdom,848,81068,37,92427.28000000001,4
2011-01-19,Australia,13,113,1,238.5,1
2011-01-19,France,31,386,1,752.75,1
2011-01-19,Germany,3,37,1,63.0,1
2011-01-19,Netherlands,33,6072,1,7722.04,1
2011-01-19,Spain,23,48,1,112.92,3
2011-01-19,Switzerland,114,2653,2,3604.63,1
2011-01-19,United Kingdom,870,8078,28,13440.73,4
2011-01-20,Australia,4,21,1,87.75,5
2011-01-20,Belgium,11,94,1,225.6,1
2011-01-20,EIRE,21,1332,1,2756.84,3
2011-01-20,France,72,708,1,1516.68,3
2011-01-20,Netherlands,2,288,1,305.28000000000003,1
2011-01-20,United Kingdom,910,8046,34,16354.84,5
2011-01-21,Finland,5,164,1,661.58,1
2011-01-21,Italy,12,145,1,341.0,3
2011-01-21,Netherlands,106,5730,1,8060.3,2
2011-01-21,United Kingdom,920,9266,36,23577.42,4
2011-01-23,France,12,126,1,514.5,3
2011-01-23,United Kingdom,560,5115,26,9885.75,1
2011-01-24,EIRE,15,47,1,282.44,4
2011-01-24,France,9,84,1,190.2,1
2011-01-24,Germany,77,1203,3,2364.78,1
2011-01-24,Greece,32,526,1,2661.24,2
2011-01-24,Hong Kong,47,1121,1,2439.76,4
2011-01-24,Spain,11,104,1,157.45,4
2011-01-24,United Kingdom,763,8944,45,17637.92,2
2011-01-25,Belgium,16,108,1,323.44,3
2011-01-25,Finland,6,601,1,227.44,1
2011-01-25,France,1,2,1,36.0,5
2011-01-25,Germany,76,1145,3,2416.84,1
2011-01-25,Singapore,56,1091,1,2053.07,1
2011-01-25,United Kingdom,821,12667,60,24020.68,3
2011-01-26,EIRE,52,690,1,802.56,1
2011-01-26,Germany,62,692,2,1175.76,2
2011-01-26,Iceland,29,315,1,475.39,2
2011-01-26,Italy,26,228,1,452.84999999999997,4
2011-01-26,Portugal,30,237,1,683.9300000000001,5
2011-01-26,United Kingdom,676,8806,50,16331.8,1
2011-01-27,Channel Islands,30,259,1,675.58,1
2011-01-27,EIRE,21,155,1,564.05,3
2011-01-27,Germany,31,410,3,767.99,2
2011-01-27,Lebanon,45,386,1,1693.88,5
2011-01-27,Spain,93,643,1,1715.85,4
2011-01-27,United Kingdom,760,9461,45,18313.49,2
2011-01-28,Australia,20,110,1,384.68,4
2011-01-28,France,47,574,3,1079.83,3
2011-01-28,Sweden,21,2804,1,2938.7599999999998,3
2011-01-28,Switzerland,34,340,1,626.6,1
2011-01-28,United Kingdom,522,6024,34,15060.78,5
2011-01-30,United Kingdom,483,3431,24,6615.75,4
2011-01-31,France,62,1822,2,3591.9700000000003,2
2011-01-31,Germany,106,1069,4,2332.21,3
2011-01-31,Netherlands,9,117,1,134.48,1
2011-01-31,United Kingdom,762,10407,55,17581.7,1
2011-02-01,Austria,14,197,1,364.6,4
2011-02-01,EIRE,45,463,1,797.77,3
2011-02-01,France,19,200,1,510.84999999999997,5
2011-02-01,Germany,11,61,1,314.15000000000003,3
2011-02-01,Netherlands,12,113,1,214.45,4
2011-02-01,Spain,12,193,1,288.98,4
2011-02-01,Sweden,12,250,1,509.5,3
2011-02-01,United Kingdom,800,14357,56,26034.69,4
2011-02-02,Austria,7,145,1,153.76,3
2011-02-02,EIRE,1,4,1,15.0,2
2011-02-02,France,28,368,2,641.39,3
2011-02-02,Germany,1,36,1,75.60000000000001,3
2011-02-02,Norway,17,197,1,334.4,4
2011-02-02,United Kingdom,776,8979,57,19996.05,4
2011-02-03,Belgium,6,21,1,213.89999999999998,1
2011-02-03,EIRE,40,270,1,788.06,1
2011-02-03,Germany,41,469,3,1712.04,2
2011-02-03,Spain,31,171,1,617.25,1
2011-02-03,United Kingdom,538,14788,40,20148.58,3
2011-02-04,EIRE,13,75,1,229.6,4
2011-02-04,France,63,617,1,1236.73,1
2011-02-04,Japan,37,37,1,45.57,1
2011-02-04,Poland,9,98,1,337.2,2
2011-02-04,Switzerland,26,211,2,693.3299999999999,2
2011-02-04,United Kingdom,658,11667,46,22619.76,3
2011-02-06,United Kingdom,220,2048,11,3457.11,4
2011-02-07,Australia,7,79,3,259.95,2
2011-02-07,Cyprus,90,494,2,1993.96,1
2011-02-07,United Kingdom,760,8570,37,23701.1,4
2011-02-08,France,14,216,1,201.86,4
2011-02-08,Netherlands,14,1126,1,1306.28,1
2011-02-08,Poland,19,199,1,266.85,2
2011-02-08,United Kingdom,737,8588,42,19174.93,1
2011-02-09,Belgium,5,11,1,84.3,4
2011-02-09,France,27,301,1,455.02,5
2011-02-09,Germany,13,160,1,168.9,5
2011-02-09,Japan,48,2962,1,5735.24,3
2011-02-09,Spain,40,287,1,762.11,1
2011-02-09,United Kingdom,531,3444,24,9487.01,1
2011-02-10,France,13,454,1,321.56,3
2011-02-10,Germany,22,228,2,351.95,3
2011-02-10,United Kingdom,486,11211,38,14222.95,3
2011-02-11,Belgium,14,262,1,231.51,4
2011-02-11,Germany,52,639,1,2355.9500000000003,1
2011-02-11,United Kingdom,582,9623,43,20285.64,4
2011-02-13,United Kingdom,425,2756,20,5713.63,3
2011-02-14,EIRE,108,1502,2,3120.71,1
2011-02-14,Germany,36,459,2,802.49,4
2011-02-14,Spain,13,219,1,446.16,4
2011-02-14,United Arab Emirates,30,496,1,889.24,3
2011-02-14,United Kingdom,635,10919,36,21444.91,1
2011-02-15,Australia,69,8384,1,14022.92,3
2011-02-15,Channel Islands,10,935,1,1784.71,1
2011-02-15,EIRE,129,2402,2,4362.5,5
2011-02-15,France,11,98,1,255.6,2
2011-02-15,United Kingdom,720,10875,53,19450.01,2
2011-02-16,Cyprus,41,1522,1,1683.9,2
2011-02-16,Denmark,20,224,1,399.22,3
2011-02-16,France,48,777,1,919.66,5
2011-02-16,Israel,16,286,1,779.1,1
2011-02-16,Norway,15,98,1,296.5,4
2011-02-16,United Kingdom,626,13249,58,20870.72,1
2011-02-17,Belgium,62,508,2,1119.2,4
2011-02-17,Cyprus,1,1,1,15.0,1
2011-02-17,EIRE,14,87,1,281.12,5
2011-02-17,France,16,116,1,250.0,4
2011-02-17,Germany,15,380,2,540.58,3
2011-02-17,United Kingdom,844,13336,61,24166.77,1
2011-02-18,EIRE,10,61,1,162.7,1
2011-02-18,France,54,768,2,974.6,4
2011-02-18,Germany,5,108,1,152.4,3
2011-02-18,Italy,13,111,1,256.0,3
2011-02-18,United Kingdom,537,8133,34,14663.05,5
2011-02-20,United Kingdom,593,5353,26,9624.69,3
2011-02-21,Belgium,15,194,1,192.31,3
2011-02-21,Cyprus,22,174,2,641.38,3
2011-02-21,EIRE,46,472,2,1011.08,2
2011-02-21,France,40,334,2,746.82,5
2011-02-21,Germany,33,791,2,1418.29,1
2011-02-21,Netherlands,118,12208,2,18279.48,4
2011-02-21,Portugal,43,454,1,973.6500000000001,1
2011-02-21,United Kingdom,707,6962,26,13125.74,5
2011-02-22,Netherlands,44,2940,1,3211.7,4
2011-02-22,United Kingdom,884,18962,51,29286.65,5
2011-02-23,EIRE,15,668,1,1480.2,3
2011-02-23,France,21,362,2,439.76,4
2011-02-23,Germany,14,201,1,388.3,3
2011-02-23,United Kingdom,847,12536,59,24583.34,1
2011-02-24,Finland,12,141,1,205.16,1
2011-02-24,Saudi Arabia,9,80,1,145.92,4
2011-02-24,Switzerland,52,560,1,1340.32,4
2011-02-24,United Kingdom,749,11115,52,21118.44,5
2011-02-25,Belgium,10,91,1,189.9,5
2011-02-25,Germany,43,713,2,1300.4,3
2011-02-25,Switzerland,4,66,1,179.35,4
2011-02-25,United Kingdom,574,9703,45,18926.09,1
2011-02-27,Australia,10,217,1,412.55,5
2011-02-27,France,5,71,1,110.6,5
2011-02-27,United Kingdom,555,4582,31,9003.35,1
2011-02-28,Belgium,3,15,1,149.95,5
2011-02-28,Czech Republic,15,346,1,549.26,3
2011-02-28,France,54,658,4,1451.51,4
2011-02-28,Portugal,14,104,1,240.25,1
2011-02-28,Switzerland,19,270,1,441.92,4
2011-02-28,United Kingdom,880,8513,49,18922.74,5
2011-03-01,Belgium,26,171,1,559.12,5
2011-03-01,EIRE,6,669,1,2541.15,1
2011-03-01,Finland,194,2127,3,4969.22,3
2011-03-01,France,56,580,2,1146.26,2
2011-03-01,Germany,14,384,1,762.5,1
2011-03-01,Norway,6,29,2,984.6500000000001,2
2011-03-01,United Kingdom,680,8185,52,15392.06,2
2011-03-02,Channel Islands,39,459,1,828.84,3
2011-03-02,Japan,1,6,1,15.299999999999999,2
2011-03-02,United Kingdom,527,8152,41,17846.65,2
2011-03-03,Australia,82,10272,1,16726.84,3
2011-03-03,Austria,4,53,1,166.04,2
2011-03-03,Belgium,19,126,1,410.0,2
2011-03-03,France,29,342,2,573.16,2
2011-03-03,Germany,27,536,2,725.28,1
2011-03-03,United Kingdom,727,8798,42,17802.68,1
2011-03-04,EIRE,70,857,2,1185.49,1
2011-03-04,France,16,125,1,317.25,3
2011-03-04,Greece,22,289,1,387.31,5
2011-03-04,Italy,18,84,1,463.63,2
2011-03-04,Japan,3,3,1,17.549999999999997,2
2011-03-04,Spain,22,397,2,471.8,3
2011-03-04,United Kingdom,663,11817,41,16663.77,2
2011-03-06,United Kingdom,510,5049,27,10005.37,1
2011-03-07,Germany,46,358,3,817.56,5
2011-03-07,Japan,12,12,1,16.05,4
2011-03-07,United Kingdom,1027,13660,64,31522.94,2
2011-03-08,Germany,44,437,3,884.63,1
2011-03-08,Portugal,56,1109,1,1570.19,4
2011-03-08,United Kingdom,853,13021,44,22626.8,5
2011-03-09,Australia,10,90,1,210.9,4
2011-03-09,Channel Islands,81,944,1,1576.3600000000001,1
2011-03-09,Netherlands,27,277,1,444.8,4
2011-03-09,Switzerland,4,314,1,439.28,3
2011-03-09,United Kingdom,719,10293,49,19367.5,4
2011-03-10,Channel Islands,62,701,1,1104.13,2
2011-03-10,Cyprus,48,1005,1,938.39,2
2011-03-10,EIRE,63,3416,4,6162.0199999999995,3
2011-03-10,Sweden,1,144,1,122.39999999999999,1
2011-03-10,United Kingdom,570,10318,50,17793.28,2
2011-03-11,EIRE,1,2,2,3374.34,5
2011-03-11,France,20,325,1,712.8499999999999,2
2011-03-11,Germany,60,618,1,987.42,2
2011-03-11,United Kingdom,561,9577,49,20400.57,1
2011-03-13,France,18,185,1,343.29,4
2011-03-13,United Kingdom,408,2564,15,3804.83,2
2011-03-14,Belgium,15,91,1,357.07,3
2011-03-14,Canada,10,88,1,140.54,4
2011-03-14,EIRE,99,936,3,1825.25,5
2011-03-14,France,21,187,1,479.40000000000003,1
2011-03-14,Netherlands,8,152,1,117.92999999999999,5
2011-03-14,Sweden,27,5156,1,4400.28,4
2011-03-14,United Kingdom,594,10155,42,18699.08,4
2011-03-15,EIRE,95,1174,3,3389.6,4
2011-03-15,France,29,317,1,565.54,5
2011-03-15,Hong Kong,1,1,1,2583.76,4
2011-03-15,Poland,9,162,1,317.78,5
2011-03-15,United Kingdom,665,7306,46,16636.81,4
2011-03-16,France,16,160,2,262.8,3
2011-03-16,Germany,11,50,1,300.7,4
2011-03-16,Spain,58,405,2,1218.95,5
2011-03-16,United Kingdom,540,12332,47,20165.91,2
2011-03-17,Denmark,19,879,1,3978.9900000000002,4
2011-03-17,EIRE,25,417,1,381.78,2
2011-03-17,Germany,56,763,2,1363.2,3
2011-03-17,Italy,51,440,1,1017.68,1
2011-03-17,Norway,7,63,1,120.33,3
2011-03-17,United Kingdom,1014,18440,56,33042.96,4
2011-03-18,EIRE,44,265,1,743.71,2
2011-03-18,Germany,67,1252,5,2390.93,2
2011-03-18,United Kingdom,718,12465,58,25037.15,5
2011-03-20,Belgium,15,215,1,226.3,2
2011-03-20,EIRE,11,73,1,197.8,5
2011-03-20,Finland,10,63,1,409.2,1
2011-03-20,France,15,423,1,316.02,4
2011-03-20,Germany,13,114,2,363.93,5
2011-03-20,United Kingdom,835,13307,54,20640.24,1
2011-03-21,Belgium,20,139,1,347.35,2
2011-03-21,France,42,90,2,205.87,2
2011-03-21,United Kingdom,609,10082,50,16162.3,1
2011-03-22,France,31,201,1,523.98,2
2011-03-22,Germany,72,976,3,1319.98,1
2011-03-22,Netherlands,12,170,1,235.71,5
2011-03-22,Norway,8,64,1,160.33,5
2011-03-22,Spain,44,335,1,1085.99,1
2011-03-22,United Kingdom,1110,14821,46,28189.59,5
2011-03-23,Austria,14,929,1,1542.08,5
2011-03-23,Belgium,29,685,2,614.55,5
2011-03-23,France,65,1233,4,1891.28,3
2011-03-23,Portugal,16,125,1,247.60000000000002,4
2011-03-23,United Kingdom,728,11418,55,19796.16,2
2011-03-24,Australia,16,77,1,286.25,3
2011-03-24,Belgium,36,356,2,837.59,5
2011-03-24,EIRE,16,114,1,415.45,1
2011-03-24,Portugal,1,1,1,27.0,5
2011-03-24,Spain,34,512,1,1140.76,4
2011-03-24,Sweden,7,107,1,197.9,5
2011-03-24,United Kingdom,744,17073,61,33792.19,1
2011-03-25,EIRE,43,533,1,750.37,4
2011-03-25,France,23,264,1,357.90999999999997,5
2011-03-25,Germany,67,1134,3,2651.34,4
2011-03-25,Netherlands,21,835,2,1563.51,2
2011-03-25,Spain,34,346,1,628.15,2
2011-03-25,Switzerland,13,227,1,490.78000000000003,5
2011-03-25,United Kingdom,729,10757,47,24952.15,4
2011-03-27,France,8,61,1,164.05,1
2011-03-27,United Kingdom,497,4469,31,9077.3,5
2011-03-28,EIRE,39,745,1,539.0,2
2011-03-28,France,69,848,1,1136.3,2
2011-03-28,Germany,50,850,3,1089.54,5
2011-03-28,Italy,13,164,2,325.5,4
2011-03-28,Portugal,25,217,1,400.53999999999996,2
2011-03-28,Spain,5,550,1,817.5,4
2011-03-28,United Kingdom,835,8889,52,18868.34,2
2011-03-29,EIRE,27,334,1,523.15,2
2011-03-29,Netherlands,103,12186,2,18247.5,3
2011-03-29,United Kingdom,944,20283,59,51941.27,2
2011-03-30,Finland,10,346,1,558.4,1
2011-03-30,Germany,7,174,1,418.70000000000005,5
2011-03-30,Netherlands,16,1208,1,1807.04,5
2011-03-30,Switzerland,41,445,1,940.1700000000001,4
2011-03-30,United Kingdom,847,18536,71,28160.97,2
2011-03-31,EIRE,9,45,1,168.4,1
2011-03-31,France,71,3349,3,5593.59,4
2011-03-31,Germany,8,93,2,316.98,3
2011-03-31,Portugal,16,174,1,415.52000000000004,4
2011-03-31,United Kingdom,840,13225,59,27841.41,4
2011-04-01,Australia,1,1,1,350.0,2
2011-04-01,EIRE,67,713,1,1407.19,3
2011-04-01,France,12,328,2,390.75,4
2011-04-01,Germany,10,115,1,348.68,1
2011-04-01,Israel,6,30,1,110.0,1
2011-04-01,United Kingdom,693,17307,69,23060.89,5
2011-04-03,United Kingdom,523,5679,20,6943.15,3
2011-04-04,EIRE,29,1239,2,2448.12,3
2011-04-04,France,27,298,2,719.55,5
2011-04-04,Germany,28,390,2,674.29,4
2011-04-04,Singapore,1,5,2,6090.84,3
2011-04-04,United Kingdom,882,12081,51,23321.44,1
2011-04-05,Finland,5,269,1,367.0,1
2011-04-05,France,1,1,1,1136.3,2
2011-04-05,Japan,32,1626,1,3599.38,3
2011-04-05,Netherlands,15,1336,2,2284.2,4
2011-04-05,Poland,25,432,1,705.8399999999999,5
2011-04-05,Singapore,52,1384,1,2118.74,5
2011-04-05,United Kingdom,660,10947,45,19933.31,4
2011-04-06,EIRE,65,655,1,955.99,2
2011-04-06,United Kingdom,674,8515,39,16406.37,5
2011-04-07,Belgium,18,248,1,255.36,3
2011-04-07,EIRE,33,390,2,583.41,2
2011-04-07,France,24,239,1,366.2,3
2011-04-07,Germany,24,238,1,415.7,1
2011-04-07,Iceland,24,483,1,636.25,2
2011-04-07,Italy,14,445,1,482.78999999999996,5
2011-04-07,United Kingdom,774,8502,57,15773.18,2
2011-04-08,Australia,17,224,1,421.6,2
2011-04-08,Germany,69,845,2,1672.01,2
2011-04-08,Greece,31,262,1,609.74,2
2011-04-08,Portugal,21,370,1,481.46000000000004,3
2011-04-08,United Kingdom,771,11313,66,22110.83,1
2011-04-10,Belgium,26,190,1,476.49,4
2011-04-10,United Kingdom,615,5442,31,9437.49,2
2011-04-11,EIRE,61,590,2,998.53,5
2011-04-11,Finland,21,237,1,373.72,2
2011-04-11,Germany,41,464,2,630.3199999999999,5
2011-04-11,Spain,15,156,1,269.95,3
2011-04-11,United Kingdom,691,11911,57,19781.65,5
2011-04-11,Unspecified,16,282,1,299.1,4
2011-04-12,Belgium,20,189,1,350.57,1
2011-04-12,Hong Kong,32,732,1,1539.64,5
2011-04-12,United Kingdom,613,14420,60,23680.09,5
2011-04-13,Channel Islands,9,97,1,293.0,1
2011-04-13,Portugal,56,581,1,1206.29,4
2011-04-13,United Kingdom,625,18091,58,22985.13,2
2011-04-14,France,31,287,1,669.2,5
2011-04-14,Germany,98,1208,6,3440.31,1
2011-04-14,Switzerland,22,196,1,669.25,3
2011-04-14,United Kingdom,707,17186,78,31325.31,1
2011-04-15,Belgium,11,77,1,142.16,3
2011-04-15,Brazil,32,356,1,1143.6,4
2011-04-15,Finland,10,159,1,306.2,2
2011-04-15,Sweden,22,201,1,486.1,1
2011-04-15,Switzerland,2,101,1,219.0,5
2011-04-15,United Kingdom,692,11835,51,26037.061,4
2011-04-17,EIRE,25,151,1,446.74,1
2011-04-17,France,31,402,2,630.22,5
2011-04-17,United Kingdom,595,7630,39,11648.54,1
2011-04-18,Belgium,12,204,1,269.66,3
2011-04-18,Germany,1,1,1,222.75,1
2011-04-18,Japan,14,6432,1,2949.12,1
2011-04-18,United Kingdom,1266,23207,66,52584.65,1
2011-04-19,EIRE,21,234,1,367.62,4
2011-04-19,Germany,74,1503,3,2614.6,1
2011-04-19,Italy,8,208,1,255.04000000000002,5
2011-04-19,USA,22,137,1,383.95,3
2011-04-19,United Kingdom,940,12400,53,20717.49,3
2011-04-20,France,18,200,1,541.2,1
2011-04-20,Germany,14,232,1,417.6,4
2011-04-20,Switzerland,1,100,1,179.0,4
2011-04-20,United Kingdom,575,17844,60,27532.67,5
2011-04-21,Finland,4,153,1,642.0,1
2011-04-21,France,45,301,2,706.55,3
2011-04-21,Germany,22,215,2,382.6,4
2011-04-21,Spain,58,530,1,1079.4,1
2011-04-21,Switzerland,54,489,1,1009.69,4
2011-04-21,United Kingdom,905,16528,70,28795.39,4
2011-04-26,Austria,24,311,2,680.78,3
2011-04-26,European Community,11,34,1,191.4,2
2011-04-26,France,26,84,1,160.54000000000002,5
2011-04-26,United Kingdom,901,15726,67,30014.71,5
2011-04-27,EIRE,5,163,1,362.9,3
2011-04-27,Germany,34,468,1,1209.8,4
2011-04-27,Sweden,12,109,1,323.0,1
2011-04-27,United Kingdom,763,17509,62,24046.74,4
2011-04-28,Belgium,29,275,1,495.24,3
2011-04-28,France,8,147,1,209.10000000000002,5
2011-04-28,Germany,8,85,1,286.88,4
2011-04-28,Netherlands,9,432,1,692.36,5
2011-04-28,Spain,23,267,1,436.3,1
2011-04-28,United Kingdom,674,12206,54,20381.670000000002,5
2011-05-01,Germany,33,647,1,1094.33,5
2011-05-01,United Kingdom,335,3172,17,5879.33,2
2011-05-03,EIRE,68,532,2,1164.21,2
2011-05-03,France,47,1046,6,1823.34,2
2011-05-03,United Kingdom,711,10888,58,32241.86,5
2011-05-04,Canada,1,504,1,534.24,3
2011-05-04,Germany,33,506,4,822.74,5
2011-05-04,Spain,41,747,1,1380.11,3
2011-05-04,United Kingdom,667,15628,59,24807.06,3
2011-05-05,Belgium,11,72,1,149.97,2
2011-05-05,EIRE,22,193,1,366.86,4
2011-05-05,France,11,100,1,236.0,1
2011-05-05,Germany,9,69,2,440.38,2
2011-05-05,Poland,11,116,1,154.8,2
2011-05-05,Switzerland,94,1771,1,2388.31,4
2011-05-05,United Kingdom,856,15158,82,25437.97,1
2011-05-06,Austria,6,42,1,165.85,5
2011-05-06,Belgium,21,182,1,381.08,5
2011-05-06,EIRE,20,1694,1,3869.18,2
2011-05-06,Germany,9,224,1,246.07999999999998,1
2011-05-06,Spain,15,88,1,522.6,2
2011-05-06,United Kingdom,1003,17717,77,30941.56,3
2011-05-08,EIRE,49,446,1,862.53,2
2011-05-08,France,62,779,1,1092.43,2
2011-05-08,United Kingdom,687,9477,61,16912.44,5
